"Date","TCI"
2013-12-06,2.76843962720449
2013-12-13,2.72436100206385
2013-12-20,2.72155615753306
2013-12-27,2.71807484997403
2014-01-03,2.69488558293457
2014-01-10,2.68005685448496
2014-01-17,2.84420567756619
2014-01-24,2.8491582326424
2014-01-31,2.7076169881071
2014-02-07,2.78182363978559
2014-02-14,2.81057050797729
2014-02-21,2.7750086336979
2014-02-28,2.78452810162451
2014-03-07,2.76220910331171
2014-03-14,2.71828140987753
2014-03-21,2.68320055296564
2014-03-28,2.25294328704976
2014-04-04,1.97918554053526
